Unit,Unit_code,Overview,Outcomes,Prerequisite,Course,Course_code
Advanced Database Systems,INFS3200,"Distributed database design, query and transaction processing, data integration, data warehousing, data cleansing, management of spatial data, and data from large scale distributed devices.","Distinguish and classify the main architectures in large scale database systems including centralized, distributed and multi-databases.| Develop insights into issues and challenges in data integration including data quality control, data cleansing, and design and construction of data warehouses.| Relate your conceptual and practical knowledge in advanced database systems to past knowledge as well as emerging trends including implications of big data.| Understand and analyze post-relational database models and advanced issues related to data integration, data quality, and data privacy.",INFS2200,Master of Data Science,MDataSc
Database Principles,INFS7901,"Database technology is a fundamental part of information technology and plays an important role in data analytics. Database technology is used to store and manage data with reliable services such as data integrity, shareability, recoverability, and security. In this course, we will study data modelling, representation, query and maintenance of data integrity. Hands-on experiences will be provided for students to create a basic database application system. In order to provide effective and efficient data management, we will study algorithms for effective access to structured data with different data processing requirements.","Reason with the logical foundation of the relational data model and understand the fundamental principles of correct relational database design.| Express natural language queries using relational algebra and SQL.| Analyse the fundamental techniques and algorithms applied for sorting, tree manipulation, and hashing on structured data.| Reason with the logical foundation on how data is indexed and how a query is executed and optimised.| Design relational databases with considerations of data integrity and system performance.","NA",Master of Data Science,MDataSc
Mathematics for Data Science 1,MATH7501,"This course will provide students with the mathematical foundations needed for analytical and statistical data science. The course will introduce logic, proofs and the elementary properties of graphs which are used for modelling networks. Limits, sequences and series which form the basis of calculus are introduced. Derivatives, maxima/minima, integration and Taylor series. Extension to multi-dimensional problems. Partial derivatives, maxima and minima. Data fitting using least squares. Numerical integration and solution of non-linear equations. Linear Algebra. Vectors, linear independence, scalar product. Matrices, simultaneous equations, determinants, vector product, eigenvalues, eigenvectors, applications. Use of mathematical software for linear algebra applications.","Understand how to apply logic to formulate a valid argument and to construct a simple proof;| Use an understanding of lists and sets to count probabilities and know how these apply to functions;| Understand functions and relations and how associated concepts apply to mathematics and computing;| Evaluate limits, derivatives, explain the underlying mathematical basis, interpret the results geometrically, and calculate the limits of sequences and series, and use them to approximate functions;| Understand matrix/vector arithmetic and be competent in extracting information from data sets by indexing and using mathematical software, understand the concept of invertibility for matrices, know many criteria for invertibility and be able to find inverses, and how matrices are used in solving systems of equations;| Understand basic numerical concepts such as using the Intermediate value theorem, optimisation of functions, solving a simple differential equation, calculating and using partial derivatives, and using the Taylor series;| Calculate single and double integrals using a number of both symbolic and numerical methods;| Use mathematical software to collect, analyse, interpret and present data.",,Master of Data Science,MDataSc
Mathematics for Data Science 2,MATH7502,"This course will provide students with the mathematical foundations important for advanced statistics methods, data modelling and analysing large data sets. Ordinary differential equations, multi-dimensional integration and change of variables. Orthogonal matrices, eigenvalues, eigenvectors, diagonalization, method of least squares, singular value decomposition. Multivariate Gaussian & related techniques including principal component analysis. Taylor series, maxima, minima and saddle points in N-dimensions. Lagrange multipliers for constrained optimization. Examples from statistical methods will be used to illustrate application of the methods. Computational software will be used throughout this course.","Understand how to apply logic to formulate a valid argument and to construct a simple proof;| Use an understanding of lists and sets to count probabilities and know how these apply to functions;| Understand functions and relations and how associated concepts apply to mathematics and computing;| Evaluate limits, derivatives, explain the underlying mathematical basis, interpret the results geometrically, and calculate the limits of sequences and series, and use them to approximate functions;| Understand matrix/vector arithmetic and be competent in extracting information from data sets by indexing and using mathematical software, understand the concept of invertibility for matrices, know many criteria for invertibility and be able to find inverses, and understand how matrices are used in solving systems of equations;| Understanding of basic concepts of mathematical analysis such as using the Intermediate value theorem, optimisation of functions, solving a simple differential equation, calculating and using partial derivatives, and using the Taylor series;| Calculate single and double integrals using a number of both analytic and numeric methods;| Use mathematical software to collect, analyse, interpret and present data.","MATH7501, MATH1051, MATH1052",Master of Data Science,MDataSc
Probability Models & Data Analysis,STAT7203,"Probability and Statistics for Data Science: basic probability theory, distributions and properties, sampling methods, EDA, estimation, hypothesis tests, regression, experimental design, transform methods, model construction, reliability, and joint distributions.","Translate a descriptive scenario into a rigorous probability model.| Analyse a probability model to determine its properties.| Demonstrate knowledge of statistical methods by being able to carry out simple statistical procedures by hand.| Use software appropriately for simulating models, performing exploratory data analysis and making relevant statistical inferences.",MATH7501,Master of Data Science,MDataSc
Data Mining,INFS7203,"Techniques used for data cleaning, finding patterns in structured, text and web data; with application to areas such as customer relationship management, fraud detection & homeland security.","Identify the process of data mining and KDD (Knowledge Discovery from Databases).| Analyze the applicability of different data mining and KDD algorithms.| Design algorithms to solve problems related to classifications and clustering, as well as identify association rules from a database.| Apply the concepts and algorithms of text mining and web mining.| Evaluate the performance of data mining and KDD algorithms.| Compare and contrast the performances of different data mining algorithms| Evaluate the scalability of data mining algorithms.| Analyze the data characteristics that affect the effectiveness of data mining.| Examine the limitations of data mining and KDD algorithms","INFS7901, INFS7903, CSSE7030",Master of Data Science,MDataSc
Advanced Techniques for High Dimensional Data,INFS7205,"Selected advanced topics from spatial & multimedia databases:  multidimensional data management concepts, theories and technologies, focusing on data access methods and similarity query processing for spatial, multimedia and Web-based databases, with particular emphasis on video indexing and search.","Identify the applications and features of complex data types, including spatial and multimedia data.| Understand existing advanced spatial and multimedia processing techniques and databases.| Examine the major issues of spatial and multimedia data management systems.| Analyze and evaluate existing research methods, creative to identify and define problems, and innovative for their solutions for multimedia database management.",INFS7903,Master of Data Science,MDataSc
Information Retrieval and Web Search,INFS7410,"The course discusses the theory, design, and implementation of Information Retrieval (IR) techniques in text-based information systems. The theoretical component of the course focuses on IR methods for the processing, indexing, querying, ranking, organisation, and classification of textual documents, including Web documents. A variety of current research topics are also covered, including professional search and recommendation systems. The practical component of the course addresses the design and implementation of high-capacity text retrieval and filtering systems such as web search engines.","Gain in-depth knowledge of the core principles in the information retrieval field such as  text representation and similarity computation, indexing textual documents, query correction and expansion, retrieval models, performance evaluation and metrics| Acquire hands-on practical experience with the development of components of Web search engines and experimentation of end-to-end systems using relevant open-source libraries.| Understand advanced topics in information retrieval research such as learning to rank, neural retrieval and ranking.| Create, analyse and evaluate novel information retrieval solutions to search related problems| Compare and contrast information retrieval methods and communicate their differences, advantages and disadvantages, based on quantitative evaluation.| Analyse search tasks and problems, and identify and communicate relevant information retrieval solutions.","INFS2200, INFS7903",Master of Data Science,MDataSc
Social Media Analytics,INFS7450,"The growth of various social media platforms over the last decade has revolutionized the way individuals interact and industries conduct business. Individuals produce data at an unprecedented rate by interacting, sharing, and consuming content through social media. Understanding and processing this new type of data to glean actionable patterns presents challenges and opportunities for interdisciplinary research, novel algorithms, and tool development. This course integrates social media, network analysis and data mining to provide a convenient and coherent platform for students to understand the basics and potentials of social media analytics. It introduces basic concepts in social media analytics, metrics to characterize networks, models to explain the generation of networks, and methods to analyse networks. The students learn to use software tools to visualize and analyse real-world social network data.  The course also introduces a wide variety of advanced topics in social media analytics such as information diffusion, community detection, behaviour analytics, social recommendations and privacy preserving in social media. If you want to share a piece of information or a site on social media, you would like to grab precious attention from other equally eager users of social media; if you are curious to know what is hidden or who is influential in the complex world of social media, you might wonder how one can find this information in big and messy social media; if you hope to serve your customers better in social media, you certainly want to employ effective means to understand them better. These are just some scenarios in which this course can help.","Master the knowledge of fundamental elements and basic concepts in social media analytics| Use important metrics and models to characterize and measure networks| Acquire both principles and hands-on practical experience of implementing algorithms and models for various applications based on social media data, such as identifying influential users, computing the importance of each user in social networks, community discovery, influence propagation and maximization, epidemic, link prediction| Explain, analyse and discuss the discovered actionable patterns from social media data| Evaluate the performance of social media analyzing algorithms","COMP3506, COMP7505, STAT7003, INFS4203, INFS7203",Master of Data Science,MDataSc
Numerical Linear Algebra & Optimisation,MATH3204,"At the heart of most modern data scientific methods in general, and machine learning in particular, lie computational techniques involving matrices as well as numerical linear algebra and optimisation algorithms. In this course, students will learn about the theory and practical aspects of many fundamental tools from matrix computations, numerical linear algebra and optimisation.  In addition to classical applications, most examples will particularly focus on modern large-scale machine learning problems. Implementations will be done using MATLAB/Python. The students will also be exposed to cutting-edge developments including randomised variants of many classical deterministic methods. Students will be taught a range of analytical and algorithmic tools that are employed in research and industry, such as various matrix types, their properties and factorisations, iterative algorithms for matrix computations such as Krylov subspace methods, various eigen-solvers, elements of convex and non-convex analysis, derivative free as well as first and second-order optimisation methods, constrained and unconstrained optimisation algorithms, and introduction to non-smooth and stochastic optimisation.","Frame an appropriate optimisation formulation for a scientific, engineering, machine learning and data analysis problem .| Select an appropriate algorithm, or modify an exiting method to obtain a variant, that is effective and efficient for a given optimisation problem.| Given a matrix computation problem, select and appropriately modify an effective numerical linear algebra routine| Understand the derivation, convergence analysis, and expected performance of various methods in numerical linear algebra and optimisation.| Translate numerical methods into computer algorithms and code| Demonstrate written communication skills appropriate for scientific reports.","MATH2000, MATH2001, MATH7000, MATH7502",Master of Data Science,MDataSc
Further Topics in Operations Research,MATH7202,"This course will work with recent papers from the literature to build on and extend the tools and concepts introduced in MATH7232. Topics will be drawn from large scale linear and integer programming, advanced dynamic programming techniques and stochastic optimisation methods.",Use mathematical techniques suitable for solving large-scale problems in operations research| Effectively communicate solutions to operations research problems,"MATH3202, MATH7232",Master of Data Science,MDataSc
Operations Research & Mathematical Planning,MATH7232,"Techniques and applications of optimisation in operations research, including linear programming, integer programming, dynamic programming and meta-heuristics. Use of Python and the Gurobi optimisation package for linear and integer programming.",Formulate practical contexts as mathematical optimisation problems.| Understand a range of optimisation methods and be able to select a suitable method to solve a particular problem.| Confidently use software to implement an optimisation model and obtain solutions.| Communicate a solution to an appropriate audience in terms of the original problem description.,,Master of Data Science,MDataSc
Statistical Learning,STAT3006,"Statistics is a key building block for numerous modern machine learning algorithms that have found success in many important applications. The course will cover key ideas behind these algorithms from a statistical perspective, and provide an in-depth knowledge that will enable students to apply the methods with awareness of their strengths and limitations. The topics covered will include probabilistic and analytic foundations, multivariate statistical analysis and machine learning, with a particular focus on clustering, classification, model selection and high-dimensional statistical analysis. Students will gain a theoretical understanding of these techniques and develop practical skills by using the R statistical programming language to solve problems involving various real and simulated datasets.","Have a theoretical understanding of multivariate statistical analysis and machine learning techniques, with particular focus on methods for clustering, classification, model selection and the analysis of high-dimensional data.| Understand the theoretical and practical strengths and limitations of different techniques.| Have problem solving skills and know how to apply statistical and machine learning techniques to new problems.| Have programming, data manipulation and visualisation skills using relevant software and computer languages.| Have the ability to discuss, interpret and communicate insights into statistical and machine learning methods and the results of analysis.","STAT2004, DATA7202, COMP4702, COMP7703, MATH1052, MATH7502",Master of Data Science,MDataSc
Accounting,ACCT7101,"An introductory course that equips students with an integrated base of theoretical and technical knowledge and skills in financial accounting. Financial accounting is a system used to prepare reports that disseminate information about the performance and financial status of a business to external parties. For example, the system used by the directors of a public company to prepare financial statements in the annual report issued to shareholders of that company. This course commences with an introduction to accounting terminology, the basic financial statements required for most businesses in the context of the Australian regulatory environment and the latest Australian Accounting Standards after harmonisation with the International Accounting Standards. The body of the course focuses on the skills necessary for the preparation and analysis of information contained in external financial statements, these being - the Income Statement, the Balance Sheet, the Statement of Changes in Equity and the Cash Flow Statement. Specific accounting issues relating to revenues, expenses, assets, liabilities and equity are addressed within the context of the financial statements. Interpretation and evaluation of information presented in financial statements are also undertaken using ratio analysis techniques.",understand the role of financial accounting in the business world including financial accounting framework and processes| prepare accounting records and financial reports| apply relevant accounting standards to accounting issues| perform basic financial statement analysis| evaluate financial accounting information to make business decisions,"NA",Master of Data Science,MDataSc
Bioinformatics 1: Introduction,BINF6000,"This course aims to provide students from a broad range of backgrounds with an introduction to bioinformatics, an emerging discipline that is transforming how we make discoveries in molecular bioscience. The course develops both theoretical and practical skills in bioinformatics, with an emphasis on the extraction and analysis of data, driven by current technologies. The course aims to equip students with a working knowledge of computing methodology relevant to the biosciences, including the use of databases, the automation of","Explain molecular biology and biological concepts that underpin the discipline of bioinformatics, and understand the capacity of bioinformatics in maximising biological discovery.

To support this objective the course starts with a series of introductory and context-setting lectures.| Describe what type of biological data that are available publicly, which are used by bioinformatics practitioners; how they are organized (broadly), how automated searching in them is facilitated, and how discoveries can be made using statistics.

To support this objective, the course refers to lecture material, text material, and practical exercises.| Explain the basic concepts of using biological sequences (DNA, RNA and protein) as strings of information, what these sequences represent, and how they can be viewed and analysed.

To support this objective, the course refers to lecture material, text material, and multiple practical exercises, that illustrate the many facets of biological sequence.| Use, describe and/or implement methods for finding patterns in biological sequences, and what classes of computational approaches operate on biological sequence data in general; describe and/or implement methods for aligning and comparing similar sequences; describe the biological facts relevant to biological sequence analysis as distinct from generic string analysis.

To support this objective, the course refers to lecture material, text material, and multiple practical exercises and workshops that illustrate practical issues with processing sequence data.| Understand basic phylogenetics and its relevance to study the historical (evolutionary) processes that underlie sequence change.

To support this objective, the course introduces basic concepts in biology by way of lectures, refers to both theoretical and practical text material, and practical exercises and workshops with computers.| Understand the key technologies for generating biological data, and the data types they produce, e.g. sequencing technology, techniques for measuring gene expression, proteomics and technologies for structural biology; explain various biological data types, including biological networks in different forms, e.g. protein-protein interactions, regulatory and metabolic pathways.

To support this objective, when bioinformatics approaches are introduced, technologies that generate the data are discussed broadly in lectures, and their data types are handled in practical, computer lab work.","NA",Master of Data Science,MDataSc
Introduction to Proteins & Nucleic Acids,BINF6001,"This course is designed to enable bioinformatics students without a solid background in biochemistry and molecular genetics to gain an understanding of important classes of biomolecules and their roles in biological processes. This will be studied at the molecular level with an emphasis on structure determining function. The course will be in two modules: (1) the proteins with coverage of their identification, structural characterization, functional analysis, and the concept of conservation of protein folding and function; and (2) the nucleic acids with coverage of the basic concepts of molecular genetics involving DNA, RNA, and proteins, and higher level concepts in epigenetics, genomics, biotechnology and molecular breeding.","Describe the chemical and physical forces driving biomolecular folding and  interactions, then apply this knowledge to analysis of structures and functions of biomolecules.| Describe cellular production and manipulation of biomolecules.| Interpret and analyse enzymatic function and kinetics.| Predict the impact of altering the components of a metabolic pathway.| Relate observed biological phenomena to key underlying concepts of biochemistry.| Reflect on skills gained in the course","NA",Master of Data Science,MDataSc
Bioinformatics 2: Development & Research,BINF7000,"Advanced Bioinformatics equips the student with the interdisciplinary knowledge and skills necessary to meet the data-centred challenges and demands of modern-day biology, with emphasis on genomics. Methods and algorithms for uncovering patterns in biological data of different forms are discussed, and in several cases developed, implemented and applied to representative problems. The student develops both theoretical and practical skills, allowing them to solve real bioinformatics problems by computer programming.","Analyse scientific data and apply appropriate abstractions for different scientific problems, i.e. display problem solving skills of a professional bioinformatician, at the interface between biology and computer science| Comprehend different, representative types of bioinformatics applications and technologies. This includes practical and theoretical knowledge of topics such as sequence and phylogenetic analysis, gene expression analysis, genome sequencing and variant calling, genome annotation and analysis, gene ontology, models of gene regulation, and systems biology. This includes genomic and proteomic technologies, and their inherent properties and limitations.| Understand the scope and limitations of computational approaches, in both theory and practice, for (a) analysing, integrating and interpreting biological sequence data; (b) the discovery of structural and functional features from a range of data sources; and (c) the design and formulation of models of biological phenomena at a molecular level. This includes familiarity of topics such as machine learning, probability theory, statistical analysis, all of which are widely used in science.| Carry out practical computer-based work in bioinformatics, utilising the iterative design process of observed biology and computational approach as an effective model for understanding biology, and accurately document such research-centred work. This includes programming, scripting solutions to problems, data processing pipelines, and other data analyses/evaluation.",BINF6000,Master of Data Science,MDataSc
Advanced Genome Informatics,BINF7001,"Advanced Genome Informatics will equip students with the knowledge and practical computing skills necessary to undertake a wide range of genome scale analyses using data produced by next generation sequencing (NGS) technologies. The background lectures will introduce current approaches for analyzing genome and transcriptome data including read mapping, de novo assembly, visualization, and phylogenomics. There will be an emphasis in developing good practice in experimental design and understanding the principles that underpin the commonly used analysis tools. The course consists of four parts: i) Read mapping and NGS data types,  ii) metagenomic analysis, iii) de novo assembly and phylogenomics and iv) Human genomics and functional annotation. Throughout the course students will learn practical genome informatics in a series of computer-based practicals using real NGS data, unix command-line tools and high performance computing resources.",Appraise the theory and practice of genome informatics and be prepared to apply these methods to address current problems in the field.| Compare the different types of available genomic and transcriptomic data and critique the general approaches used to analyse these.| Examine the principles of sequence alignment to the practical problem of mapping reads to a reference sequence.| Judge the approaches required for the analysis of metagenomic data.| Appraise the principles underpinning common de novo assembly approaches.| Explain the approaches required for phylogenomic analysis of sequence data.| Describe the approaches required for genomic analysis and functional annotation of human genomic sequence data.,BINF6000,Master of Data Science,MDataSc
Artificial Intelligence,COMP3702,"Methods and techniques within the field of artificial intelligence, including topics on search, reasoning and planning with certainty, decision-making under uncertainty, learning to act and reasoning about other agents. Specific emphasis on the practical utility of algorithms and their implementation in software.","Describe the core theoretical and conceptual frameworks, methods and practices which form the basis of artificial intelligence.| Explain the properties and functions of a range of different artificial intelligence methods and to be able to connect a method to appropriate theoretical foundations.| Effectively solve problems relating to artificial intelligence topics and applications discussed in class and in the literature.| Implement techniques and methods from artificial intelligence using a high-level programming language.| Effectively formulate real-world problems as problem representations solvable by existing techniques in artificial intelligence.","CSSE1001, ENGG1001",Master of Data Science,MDataSc
Pattern Recognition and Analysis,COMP3710,"Understanding patterns in our environment is an important cognitive ability. The development of recognition and automated algorithms that are able to process copious amounts data without (or with limited) human intervention is critical in replicating this ability in machines. This course will cover the fundamentals of creating computational algorithms that are able to recognise and/or analyse patterns within data of various forms. Topics and algorithms will include fractal geometry, classification methods such as random forests, recognition approaches using deep learning and models of the human vision system. Python and stat-of-the-art packages like Tensorflow will be used as a mechanism for students to study patterns in nature, noise and data from various real-worlds sources, such images, social media and biomedical signals.","Demonstrate their mathematical theory of patterns such as symmetry groups and fractal geometry| Extract and interpret patterns that exist in data and for solving recognition problems| Make use of different transform domains and dimensionality reduction in identifying patterns| Distinguishing when to apply and make use of decision trees to various large datasets| Distinguishing when to apply and make use of convolutional neural networks| Demonstrate the ability to develop algorithms, while applying appropriate software engineering principles| Develop heterogeneous computing solutions using industry grade software packages such as Tensorflow, JAX or PyTorch| Effectively communicate (using oral and written communication and appropriate figures and visualisations) the purpose, operation, technical functionality and research directions related to a pattern recognition algorithm","MATH1051, MATH1071, CSSE1001, ENGG1001",Master of Data Science,MDataSc
Digital Health Software Project,COMP3820,"This course will help you learn the basic fundamentals of digital health technology through hands-on experience, and through exposure to the real-world use of data and informatics in the health industry. The course includes a MOOC component that provides a broad introduction to healthcare informatics. There will also be a number of guest lecturers from industry talking about how digital health is used in their work. A major part of the course is composed of a group software project building a FHIR app for use in a clinical (or clinical education) setting, with real-world clients. FHIR (Fast Healthcare Interoperability Resources) is the new standard for sharing health data that is revolutionising how clinicians and patients are interacting with digital technology and has been adopted by major global IT companies (e.g. Apple, Google, Microsoft, etc.) and digital health vendors (e.g. Cerner, EPIC, etc.). Be at the forefront of healthcare application development by learning about and developing new FHIR and SMART-on-FHIR applications in collaboration with CSIRO Australian e-Health Research Centre, Georgia Tech University (USA) and UQ Faculty of Medicine and Faculty of Health and Behavioural Sciences.","Describe and discuss aspects of the digital health landscape, such as the use of health data, comparisons between international healthcare systems' use of data, and implications of the way data is used| Analyse and examine user requirements for a digital healthcare application in order to select appropriate tools, technologies and techniques to design and implement a solution| Apply Human-Computer Interaction/User-Experience Design techniques to the design of a digital healthcare application, and where applicable, analyse and respond to design issues that arise in the design process| Develop a digital healthcare application using the FHIR (Fast Healthcare Interoperability Resources) standard, and where applicable, integrate the healthcare application into a larger healthcare informatics environment using interoperability standards| Apply collaboration skills to work effectively with others in a team towards shared project goals, while managing individual work","CSSE1001, CSSE7030, ENGG1001, CSSE2002, CSSE7023, DECO1400, DECO7140, DECO2500, DECO7250",Master of Data Science,MDataSc
Advanced Algorithms & Data Structures,COMP7500,"Analysis of algorithms. Solution of summation & recurrence equations. Algorithm paradigms: divide-&-conquer, greedy algorithms, dynamic programming, backtracking, branch-&-bound. Advanced graph algorithms. Amortised analysis. Self-adjusting data structures. Complexity classes, NP-completeness. Approximation algorithms. Randomized algorithms.","Analyse, compare, and contrast algorithms and data structures by evaluating their time and space complexity.| Apply algorithm design paradigms to generate novel solutions.| Design abstract solutions based on graph algorithms, dynamic programming, and greedy methods.| Develop efficient implementations to abstract solutions.| Perform amortised analysis of data structures and algorithms.| Explain the theory and relevance of theoretical complexity classes.",COMP7505,Master of Data Science,MDataSc
