"","Course","Course_overview","Unit","Overview","Prerequisite","Corequisite","Prohibition","Outcomes","Unit_type","Unit_code","Course_code"
"11","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Advanced Database Systems","Many applications require access to very large amounts of data. These applications often require reliability (data must not be lost even in the presence of hardware failures), and the ability to retrieve and process the data very efficiently.","Database Systems, Database Systems & Information Modelling","None","None","Evaluate performance and reliability in building applications involving large-scale database systemsInvestigate and analyse database technologies used in large-scale applications such as search engines Apply the concepts and technologies underpinning new forms of Web data to database systems Have deep knowledge of transaction processing and recovery from failures and concepts employed in modern database systems ","Core","COMP90050","MC-DATASC"
"12","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Statistical Machine Learning","With exponential increases in the amount of data becoming available in fields such as finance and biology, and on the web, there is an ever-greater need for methods to detect interesting patterns in that data, and classify novel data points based on curated data sets. Learning techniques provide the means to perform this analysis automatically, and in doing so to enhance understanding of general processes or to predict future events.","Introduction to Machine Learning, Machine Learning, Elements of Data Processing, Methods of Mathematical Statistics","None","None","Describe a range of machine learning algorithmsDesign, implement and evaluate learning systems to solve real-world problems, based on an appreciation of their relative suitability to different tasks","Core","COMP90051","MC-DATASC"
"13","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Data Science Project Pt1","This capstone project will provide the culmination of the Master of Data Science degree. It will apply the skills developed during the degree to a practical problem of relevance to science, industry, commerce or society in general. Students will work in teams under only general guidance from staff members. Students will complete diaries to log their work on the project so that the extent of their contribution to group projects can be determined. In the first part of the project students will complete a literature review and a plan for their project.","Elements of Data Processing, Introduction to Machine Learning, A First Course In Statistical Learning, Database Systems & Information Modelling","None","None","apply contemporary data science techniques to a practical problem.project manage as part of a team in order to design the program of work, complete the analysis of project results and compile the project reportpresent results at a career-ready level","Core","MAST90106","MC-DATASC"
"14","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Data Science Project Pt2","This capstone project will provide the culmination of the Master of Data Science degree. It will apply the skills developed during the degree to a practical problem of relevance to science, industry, commerce or society in general. Students will continue to work in their teams established in MAST90106 Data Science Project Part 1, again under only general guidance from staff members. They are expected to present technically correct results in a fashion acceptable to industry-based and other clients.
  Students will be continue to be expected to complete diaries to log their work on the project so that the extent of their contribution to group projects can be determined. In this part of the project students will complete the project and present a group project report and oral presentation.","Data Science Project Pt1, Statistical Machine Learning, Computational Statistics & Data Science","None","None","The ability to apply contemporary data science techniques to a practical problem.The ability to project manage as part of a team in order to design the program of work, complete the analysis of project results and compile the project reportThe ability to present results at a career-ready level","Core","MAST90107","MC-DATASC"
"15","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Data Science Research Project Pt1","In this subject, students undertake a substantial research program in the area of Data Science. The research will be conducted under the supervision of a member of the School of Mathematics and Statistics or the Computing and Information Systems academic staff. The results will be reported in the form of a thesis and an oral presentation.","None","None","None","discovered the challenge of research in Data Science;a deeper knowledge of in Data Science;completed a substantial piece of research; anda sound preparation for future research in Data Science.","Core","MAST90108","MC-DATASC"
"16","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Data Science Research Project Pt2","In this subject, students undertake a substantial research program in the area of Data Science. The research will be conducted under the supervision of a member of the School of Mathematics and Statistics or the Computing and Information Systems academic staff. The results will be reported in the form of a thesis and an oral presentation.","None","None","None","discovered the challenge of research in Data Science;a deeper knowledge of in Data Science;completed a substantial piece of research; anda sound preparation for future research in Data Science.","Core","MAST90109","MC-DATASC"
"17","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Foundations of Spatial Information","This is an introductory subject to Geographic Information Systems (GIS) and Geographic Information Science, both practically and theoretically, at postgraduate level. Spatial information is ubiquitous in decision making. Be it in urban planning, in traffic or disaster management, in way-finding, in issues of the environment, public health and sustainability, or in economic contexts: the question of 'where' is a fundamental one. Spatial information is also special in many respects, such as its dimensionality and autocorrelation, its volume, its links to the Internet of Things (things are always located somewhere), to social networks (which exist in space and time), to streaming data from sensors everywhere, or to intelligent (location-aware) systems. The subject provides the foundations for more specialized subjects on spatial data management, spatial data analysis and spatial data visualization, and is of particular relevance to people wishing to establish a career in the spatial information industry, the environmental or planning industry. It is also suited for every postgraduate student who is looking for solid GIS skills or for a prime domain to apply data analytics and artificial intelligence. The subject is suited for on-campus and off-campus delivery.","None","None","None","Describe and discuss the process from observing the environment to representing information about the environmentIdentify and assess fundamental data structures and analysis procedures associated with spatial informationDiscuss the use of geographic information in decision makingApply basic practical skills in the use of Geographic Information Systems software.","Elective","GEOM90008","MC-DATASC"
"18","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Spatial Databases","Spatial databases are fundamental to any geographical information system. Efficient and effective representation and retrieval of spatial information is a non-trivial task. This subject will cover the concepts, methods, and approaches that allow for efficient representation, querying, and retrieval of spatial data.","Foundations of Spatial Information","None","None","Describe the need for spatial databases, and the differences between spatial and non-spatial database systemsDescribe the design and principles of spatial databases, including techniques for efficiently storing and retrieving spatial dataDesign queries for spatial database systemsUse and customize specific spatial database systems.","Elective","GEOM90018","MC-DATASC"
"19","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Spatial Analysis","In this subject students will learn about the foundations of spatial data and their analysis. Emphasis will be placed on learning how to investigate the patterns that arise as a result of processes that may be operating in space. For example, students will learn to identify geographic clusters of disease cases, or hotspots of crime. A variety of scientific tools including probability theory, combinatorics, descriptive statistics, distributions and matrix algebra will be taught. Students will learn essential skills that are fundamental for all applications of geographic information.","Foundations of Spatial Information","None","None","Describe and discuss data structures and analysis procedures to analyse spatial dataDesign and run a spatial analysis appropriate to a given phenomenonDistinguish and characterise patterns and processes in geographic spaceApply GIS software for spatial analysis, and interpret the results.","Elective","GEOM90006","MC-DATASC"
"20","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Information Visualisation","Information Visualisation is about using and designing effective mechanisms for presenting and exploring the patterns embedded in large and complex data sets, and to support decision making. Information  Visualisation is important in a range of domains dealing with voluminous data rich in structure, among  them, prominently, data in the spatial domain or data referenced to the spatial domain. Through its focus on presentation and interaction with spatial information, this subject complements related subjects that deal with the storage and querying of data (database subjects such as GEOM90018 Spatial Databases), and the processing of data (data analytics subjects such as GEOM90006 Spatial Analysis). This subject is vital for anyone wishing to work with large datasets. It will also be of relevance to those with an interest  in design, especially graphical and interaction design.   ","None","None","Foundations of Spatial Information","ILO 1. Apply the cognitive and technical  principles of information visualisation across  various domainsILO 2. Critically evaluate the designs of maps  and user interfaces for spatial information visualisation; ILO 3.  Analyse big spatial data sets using  data visualisation and geovisualisation techniques","Elective","GEOM90007","MC-DATASC"
"21","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Analysis of High-Dimensional Data","Modern data sets are growing in size and complexity due to the astonishing development of data acquisition and storage capabilities. This subject focuses on developing rigorous statistical learning methods that are needed to extract relevant features from large data sets, assess the reliability of the selected features, and obtain accurate inferences and predictions. This subject covers recent methodological developments in this area such as inference for high-dimensional inference regression, empirical Bayes methods, model selection and model combining methods, and post-selection inference methods.","Mathematical Statistics, Linear Statistical Models, A First Course In Statistical Learning","None","Multivariate Statistical Techniques, Computational Statistics & Data Science, Statistical Modelling","A deeper understanding of statistical methods for high-dimensional data and their propertiesThe ability to apply such methods using a statistical computing package and interpret the results","Elective","MAST90110","MC-DATASC"
"22","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Advanced Statistical Modelling","Complex data consisting of dependent measurements collected at different times and locations are increasingly important in a wide range of disciplines, including environmental sciences, biomedical sciences, engineering and economics. This subject will introduce you to advanced statistical methods and probability models that have been developed to address complex data structures, such as functional data, geo-statistical data, lattice data, and point process data. A unifying theme of this subject will be the development of inference, classification and prediction methods able to cope with the dependencies that often arise in these data.","Mathematical Statistics, Linear Statistical Models, A First Course In Statistical Learning","None","Multivariate Statistical Techniques, Computational Statistics & Data Science, Statistical Modelling","An appreciation of the range and utility of advanced statistical models and a sound knowledge of their analysis using modern statistical methods.An appreciation of the computational methods required to fit these models and the ability to interpret the results of an analysis.","Elective","MAST90111","MC-DATASC"
"23","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Mathematics of Risk","Mathematical modelling of various types of risk has become an important component of the modern financial industry. The subject discusses the key aspects of the mathematics of market risk. Main concepts include loss distributions, risk and dependence measures, copulas, risk aggregation and allocation principles, elements of extreme value theory. The main theme is the need to satisfactorily address extreme outcomes and the dependence of key risk drivers.","Probability for Inference, Real Analysis, Real Analysis: Advanced","None","None","understand the basic mathematical concepts used in the financial market risk analysis;know how these concepts can be applied in situations requiring quantitative risk management;gain the ability to pursue further studies in this and related areas.","Elective","MAST90051","MC-DATASC"
