Course,Course_code,Unit_code,Unit,Overview,Outcomes,Prerequisite,Prohibition,Corequisite
Bachelor of Applied Data Science,S2010,FIT3181,FIT3181 - Deep learning,Modern machine learning provides core underlying theory and techniques to data science and artificial intelligence. This unit is for students to develop practical knowledge of modern machine learning and deep learning and how they can be used in real-world settings such as image recognition or text clustering via neural embeddings. … For more content click the Read more button below.,"Evaluate the life cycle of a machine leaning system, what is involved in designing such systems and strategy to maintain them.| Assess what deep learning (DL) is, what makes DL work or fail, and critique where they should be applied.| Construct and apply deep neural networks, deep generative models and different optimization strategies for training them.| Develop unsupervised feature learning models and representation learning models.",FIT2086,,
Bachelor of Applied Data Science,S2010,MTH1020,MTH1020 - Analysis of change,"Properties of real and complex numbers; algebraic functions and common transcendental functions; modelling change using elementary functions; limits and continuity; rate of change, derivatives, local and global extrema; sums and integrals, anti-derivatives, calculus applications: (optimisation, area and volume, introduction to differential equations); vectors in two- and three- dimensional space.","Demonstrate basic knowledge of complex numbers, including algebraic manipulations and their various representations;| Demonstrate basic knowledge of vectors in two and three-dimensional space, their properties, and geometric applications;| Calculate simple limits to describe continuity and behaviour of one-variable real functions near a point and at infinity;| Explain how differentiation and integration arise via limits;| Calculate derivatives and integrals using a variety of methods;| Use calculus methods to analyse function characteristics such as local and global extrema, concavity and points of inflection;| Solve differential equations of the separable variables type;| Use calculus techniques to solve a variety of problems that can be modelled with functions or with first order differential equations;| Demonstrate proficiency in mathematical writing and communication.",,,
Bachelor of Applied Data Science,S2010,MTH1030,MTH1030 - Techniques for modelling,"Solution of systems of linear equations using Gaussian elimination; matrices, determinants, eigenvalues and eigenvectors; introduction to vectors; methods of integration - substitutions and integration by parts; solution of first-order ordinary differential equations - separable, use of integrating factor; solution of second-order linear ordinary differential equations with constant coefficients and applications; … For more content click the Read more button below.","Understand the basic concepts of linear algebra, recognise and manipulate elements of vector spaces;| Formulate and solve equations involving vectors and matrices, including for three-dimensional geometry;| Identify and evaluate improper integrals;| Solve simple first and second order differential equations, and formulate them for applications to physical systems;| Compute Taylor series expansions, with remainder, for functions of one variable;| Apply Taylor series and l'Hopital's rule to compute limits;| Understand and compute the convergence properties of infinite series;| Provide written reports that contain complete mathematical arguments.",,,
Bachelor of Applied Data Science,S2010,MTH1035,MTH1035 - Techniques for modelling (advanced),"Solution of systems of linear equations using Gaussian elimination; matrices and determinants, eigenvalues and eigenvectors; introduction to vectors; parametric curves; methods of integration - substitutions and integration by parts; solution of first-order ordinary differential equations - separable, use of integrating factor; solution of second-order linear ordinary differential equations with constant … For more content click the Read more button below.","Understand the basic concepts of linear algebra, and recognise and manipulate elements of vector spaces;| Formulate and solve equations involving vectors and matrices, including for three-dimensional geometry;| Identify and evaluate improper integrals;| Solve simple first and second order differential equations, and formulate them for applications to physical systems;| Compute Taylor series expansions, with remainder, for functions of one variable;| Apply Taylor series and l'Hopital's rule to compute limits;| Understand and compute the convergence properties of infinite series;| Provide written reports that contain complete mathematical arguments;| Understand the concept of mathematical proof and the difference between proof by construction and proof by induction;| Prove elementary theorems by induction and by construction.",,,
Bachelor of Applied Data Science,S2010,MTH2019,MTH2019 - Multivariate mathematics for data science,"This unit introduces and develops a range of basic concepts and techniques related to two main subjects: multivariate calculus and linear algebra. The programme is targeted for students following a degree in data science and the material will have emphasis on assimilating important principles, on developing classical techniques, and on … For more content click the Read more button below.","Successfully describe, and apply multivariate mathematics to problems in data science;| Exhibit key skills in the calculus of functions of several variables including the computation of partial derivatives, finding tangent planes and identifying stationary points, root finding, and convexity for optimisation;| Compute line, surface and volume integrals in a range of coordinate systems;| Demonstrate their comprehension of basic concepts related to linear transformations and vector spaces, including subspace, span, linear independence, basis, kernel and range;| Diagonalise real matrices by computing their eigenvalues and finding their eigenspaces;| Explain and apply basic concepts related to inner product spaces to problems such as least-squares data fitting;| Use appropriate technology (e.g. computer algebra packages) to solve certain classes of mathematical problems;| Present clear mathematical arguments in written and oral form.",,,
Bachelor of Applied Data Science,S2010,MTH2222,MTH2222 - Mathematics of uncertainty,"Introduction to probability - a mathematical treatment. Topics include: probability axioms, conditional probabilities and the law of total probability, discrete and continuous random variables, univariate and multivariate distributions, independence and conditioning, conditional distributions and conditional expectations, moment generating functions, simulation, the law of large numbers and the central limit theorem.","Understand the basic concepts of probability including conditioning and independence, univariate and multivariate probability distributions, expectations, generating functions and limit theorems;| Appreciate the relevance of probability models to a variety of areas including Science, Engineering, Actuarial Science and Finance;| Derive means, variances, moments and distributions in a variety of univariate and multivariate contexts;| Use conditioning and moment generating functions to solve a variety of problems involving two or more events or random variables;| Understand the way random numbers are generated;| Formulate in probabilistic terms real-life situations involving uncertainty.","MTH1030, MTH1035, ENG1005",,"MTH2025, MTH2040, MTH2015, MTH2021, MTH2010, ENG2005, MTH2019"
Bachelor of Applied Data Science,S2010,MTH2225,MTH2225 - Mathematics of uncertainty (Advanced),"This unit provides an introduction to probability - mathematical treatment. Topics include: probability axioms, conditional probabilities and the law of total probability, discrete and continuous random variables, univariate and multivariate distributions, independence and conditioning, conditional distributions and conditional expectations, moment generating functions, simulation, the law of large numbers and the … For more content click the Read more button below.","Understand the basic concepts of probability including conditioning and independence, univariate and multivariate probability distributions, expectations, generating functions and limit theorems;| Appreciate the relevance of probability models to a variety of areas including Science, Engineering, Actuarial Science and Finance;
| Derive means, variances, moments and distributions in a variety of univariate and multivariate contexts;| Use conditioning and moment generating functions to solve a variety of problems involving two or more events or random variables;| Understand the way random numbers are generated;| Formulate in probabilistic terms real-life situations involving uncertainty;| Use probabilistic tools, such as conditioning and moment generating functions, to prove basic results in probability;| Carry out all of the above with a high level of mathematical precision.",,,
Bachelor of Applied Data Science,S2010,MTH2051,MTH2051 - Introduction to computational mathematics,"When mathematics is used in real-world applications, it almost always involves the use of computers. This unit provides an introduction to numerical methods for solving maths-related problems on computers. Topics covered include an introduction to Matlab programming; error analysis; methods for solving linear systems, methods for finding roots of nonlinear … For more content click the Read more button below.","Demonstrate an understanding of the mathematical theory behind important numerical methods for solving real-life problems on computers;| Implement numerical methods for a variety of problems in Matlab, and test the accuracy and efficiency of implementation;| Demonstrate an understanding of the approximations introduced in algorithms and the effects of those approximations on the quality of calculations;| Solve theoretical and applied problems of analysing and employing numerical methods;| Demonstrate an awareness of the reach and importance of numerical methods in science, engineering, finance and technology;| Demonstrate advanced problem-solving skills, both individually and in collaboration;| Demonstrate advanced skills in the written and oral presentation of theoretical and applied numerical mathematics problems.",,,
Bachelor of Applied Data Science,S2010,MTH3241,MTH3241 - Random processes in the sciences and engineering,"This unit introduces the methods of stochastic processes and statistics used in the analysis of biological data, physics, economics and engineering. At the completion of the unit you will understand the application of classical techniques, such as Poisson processes, Markov chains, hidden Markov chains, random walks, martingale theory, birth and … For more content click the Read more button below.","Understand the idea of random variables varying with time;| Analyse Markov chains at the elementary level, in discrete and continuous time;| Understand key processes in probability, including the Poisson process, birth process, birth and death process, branching processes, random walks, martingales;| Apply the probability processes to practical situations, including queues, epidemics, servicing machines, networks, financial markets and insurance risk.",,,
Bachelor of Applied Data Science,S2010,MTH3320,MTH3320 - Computational linear algebra,"The overall aim of this unit is to study the numerical methods for matrix computations that lie at the core of a wide variety of large-scale computations and innovations in the sciences, engineering, technology and data science. You will receive an introduction to the mathematical theory of numerical methods for … For more content click the Read more button below.","Explain the mathematical theory behind a selection of important numerical methods for linear algebra, including the derivation of the methods and the analysis of their properties.| Explain and apply notions of conditioning, stability, accuracy, convergence, convergence speed and computational cost.| Demonstrate proficiency in the main linear algebra algorithms for solving linear systems, least-squares problems, eigenvalue decompositions, and other matrix decompositions, and apply them to problems in science, engineering, technology and big data analytics.| Implement advanced computational linear algebra methods, and demonstrate the correctness and efficiency of the implementations in systematic computational tests.| Demonstrate advanced skills in the written and oral presentation of theoretical and applied computational linear algebra problems.",,,
Bachelor of Applied Data Science,S2010,MTH3330,MTH3330 - Optimisation and operations research,"This unit introduces some of the fundamental methods from operations research and computational mathematics for continuous optimisation problems. A range of such optimisation problems appear in economics, engineering, finance, business, data science and many other application areas. You will receive an introduction to the mathematical theory of continuous optimisation with … For more content click the Read more button below.","Formulate a range of operations research problems as linear programming problems, and be able to solve them computationally;| Demonstrate an understanding how the most widely used linear programming algorithms work;| Apply duality theory to prove optimality of a solution;| Interpret the solutions of optimisation problems, including analysing sensitivity of solutions;| Implement several iterative algorithms for solving unconstrained non-linear optimisation problems and understand the mathematics behind these;| Formulate and solve general non-linear programs arising in engineering, data science and other areas.",,,
Bachelor of Applied Data Science,S2010,MTH1020,MTH1020 - Analysis of change,"Properties of real and complex numbers; algebraic functions and common transcendental functions; modelling change using elementary functions; limits and continuity; rate of change, derivatives, local and global extrema; sums and integrals, anti-derivatives, calculus applications: (optimisation, area and volume, introduction to differential equations); vectors in two- and three- dimensional space.","Demonstrate basic knowledge of complex numbers, including algebraic manipulations and their various representations;| Demonstrate basic knowledge of vectors in two and three-dimensional space, their properties, and geometric applications;| Calculate simple limits to describe continuity and behaviour of one-variable real functions near a point and at infinity;| Explain how differentiation and integration arise via limits;| Calculate derivatives and integrals using a variety of methods;| Use calculus methods to analyse function characteristics such as local and global extrema, concavity and points of inflection;| Solve differential equations of the separable variables type;| Use calculus techniques to solve a variety of problems that can be modelled with functions or with first order differential equations;| Demonstrate proficiency in mathematical writing and communication.",,,
Bachelor of Applied Data Science,S2010,MTH1030,MTH1030 - Techniques for modelling,"Solution of systems of linear equations using Gaussian elimination; matrices, determinants, eigenvalues and eigenvectors; introduction to vectors; methods of integration - substitutions and integration by parts; solution of first-order ordinary differential equations - separable, use of integrating factor; solution of second-order linear ordinary differential equations with constant coefficients and applications; … For more content click the Read more button below.","Understand the basic concepts of linear algebra, recognise and manipulate elements of vector spaces;| Formulate and solve equations involving vectors and matrices, including for three-dimensional geometry;| Identify and evaluate improper integrals;| Solve simple first and second order differential equations, and formulate them for applications to physical systems;| Compute Taylor series expansions, with remainder, for functions of one variable;| Apply Taylor series and l'Hopital's rule to compute limits;| Understand and compute the convergence properties of infinite series;| Provide written reports that contain complete mathematical arguments.",,,
Bachelor of Applied Data Science,S2010,MTH1035,MTH1035 - Techniques for modelling (advanced),"Solution of systems of linear equations using Gaussian elimination; matrices and determinants, eigenvalues and eigenvectors; introduction to vectors; parametric curves; methods of integration - substitutions and integration by parts; solution of first-order ordinary differential equations - separable, use of integrating factor; solution of second-order linear ordinary differential equations with constant … For more content click the Read more button below.","Understand the basic concepts of linear algebra, and recognise and manipulate elements of vector spaces;| Formulate and solve equations involving vectors and matrices, including for three-dimensional geometry;| Identify and evaluate improper integrals;| Solve simple first and second order differential equations, and formulate them for applications to physical systems;| Compute Taylor series expansions, with remainder, for functions of one variable;| Apply Taylor series and l'Hopital's rule to compute limits;| Understand and compute the convergence properties of infinite series;| Provide written reports that contain complete mathematical arguments;| Understand the concept of mathematical proof and the difference between proof by construction and proof by induction;| Prove elementary theorems by induction and by construction.",,,
Bachelor of Applied Data Science,S2010,MTH2019,MTH2019 - Multivariate mathematics for data science,"This unit introduces and develops a range of basic concepts and techniques related to two main subjects: multivariate calculus and linear algebra. The programme is targeted for students following a degree in data science and the material will have emphasis on assimilating important principles, on developing classical techniques, and on … For more content click the Read more button below.","Successfully describe, and apply multivariate mathematics to problems in data science;| Exhibit key skills in the calculus of functions of several variables including the computation of partial derivatives, finding tangent planes and identifying stationary points, root finding, and convexity for optimisation;| Compute line, surface and volume integrals in a range of coordinate systems;| Demonstrate their comprehension of basic concepts related to linear transformations and vector spaces, including subspace, span, linear independence, basis, kernel and range;| Diagonalise real matrices by computing their eigenvalues and finding their eigenspaces;| Explain and apply basic concepts related to inner product spaces to problems such as least-squares data fitting;| Use appropriate technology (e.g. computer algebra packages) to solve certain classes of mathematical problems;| Present clear mathematical arguments in written and oral form.",,,
Bachelor of Applied Data Science,S2010,MTH2051,MTH2051 - Introduction to computational mathematics,"When mathematics is used in real-world applications, it almost always involves the use of computers. This unit provides an introduction to numerical methods for solving maths-related problems on computers. Topics covered include an introduction to Matlab programming; error analysis; methods for solving linear systems, methods for finding roots of nonlinear … For more content click the Read more button below.","Demonstrate an understanding of the mathematical theory behind important numerical methods for solving real-life problems on computers;| Implement numerical methods for a variety of problems in Matlab, and test the accuracy and efficiency of implementation;| Demonstrate an understanding of the approximations introduced in algorithms and the effects of those approximations on the quality of calculations;| Solve theoretical and applied problems of analysing and employing numerical methods;| Demonstrate an awareness of the reach and importance of numerical methods in science, engineering, finance and technology;| Demonstrate advanced problem-solving skills, both individually and in collaboration;| Demonstrate advanced skills in the written and oral presentation of theoretical and applied numerical mathematics problems.",,,
Bachelor of Applied Data Science,S2010,MTH3320,MTH3320 - Computational linear algebra,"The overall aim of this unit is to study the numerical methods for matrix computations that lie at the core of a wide variety of large-scale computations and innovations in the sciences, engineering, technology and data science. You will receive an introduction to the mathematical theory of numerical methods for … For more content click the Read more button below.","Explain the mathematical theory behind a selection of important numerical methods for linear algebra, including the derivation of the methods and the analysis of their properties.| Explain and apply notions of conditioning, stability, accuracy, convergence, convergence speed and computational cost.| Demonstrate proficiency in the main linear algebra algorithms for solving linear systems, least-squares problems, eigenvalue decompositions, and other matrix decompositions, and apply them to problems in science, engineering, technology and big data analytics.| Implement advanced computational linear algebra methods, and demonstrate the correctness and efficiency of the implementations in systematic computational tests.| Demonstrate advanced skills in the written and oral presentation of theoretical and applied computational linear algebra problems.",,,
Bachelor of Applied Data Science,S2010,MTH3330,MTH3330 - Optimisation and operations research,"This unit introduces some of the fundamental methods from operations research and computational mathematics for continuous optimisation problems. A range of such optimisation problems appear in economics, engineering, finance, business, data science and many other application areas. You will receive an introduction to the mathematical theory of continuous optimisation with … For more content click the Read more button below.","Formulate a range of operations research problems as linear programming problems, and be able to solve them computationally;| Demonstrate an understanding how the most widely used linear programming algorithms work;| Apply duality theory to prove optimality of a solution;| Interpret the solutions of optimisation problems, including analysing sensitivity of solutions;| Implement several iterative algorithms for solving unconstrained non-linear optimisation problems and understand the mathematics behind these;| Formulate and solve general non-linear programs arising in engineering, data science and other areas.",,,
Bachelor of Applied Data Science,S2010,MTH1030,MTH1030 - Techniques for modelling,"Solution of systems of linear equations using Gaussian elimination; matrices, determinants, eigenvalues and eigenvectors; introduction to vectors; methods of integration - substitutions and integration by parts; solution of first-order ordinary differential equations - separable, use of integrating factor; solution of second-order linear ordinary differential equations with constant coefficients and applications; … For more content click the Read more button below.","Understand the basic concepts of linear algebra, recognise and manipulate elements of vector spaces;| Formulate and solve equations involving vectors and matrices, including for three-dimensional geometry;| Identify and evaluate improper integrals;| Solve simple first and second order differential equations, and formulate them for applications to physical systems;| Compute Taylor series expansions, with remainder, for functions of one variable;| Apply Taylor series and l'Hopital's rule to compute limits;| Understand and compute the convergence properties of infinite series;| Provide written reports that contain complete mathematical arguments.",,,
Bachelor of Applied Data Science,S2010,MTH1035,MTH1035 - Techniques for modelling (advanced),"Solution of systems of linear equations using Gaussian elimination; matrices and determinants, eigenvalues and eigenvectors; introduction to vectors; parametric curves; methods of integration - substitutions and integration by parts; solution of first-order ordinary differential equations - separable, use of integrating factor; solution of second-order linear ordinary differential equations with constant … For more content click the Read more button below.","Understand the basic concepts of linear algebra, and recognise and manipulate elements of vector spaces;| Formulate and solve equations involving vectors and matrices, including for three-dimensional geometry;| Identify and evaluate improper integrals;| Solve simple first and second order differential equations, and formulate them for applications to physical systems;| Compute Taylor series expansions, with remainder, for functions of one variable;| Apply Taylor series and l'Hopital's rule to compute limits;| Understand and compute the convergence properties of infinite series;| Provide written reports that contain complete mathematical arguments;| Understand the concept of mathematical proof and the difference between proof by construction and proof by induction;| Prove elementary theorems by induction and by construction.",,,
Bachelor of Applied Data Science,S2010,MTH2010,MTH2010 - Multivariable calculus,"Functions of several variables, partial derivatives, extreme values, Lagrange multipliers. Multiple integrals, line integrals, surface integrals. Vector differential calculus; grad, div and curl. Integral theorems of Gauss and Stokes. ","Understand and apply multivariable calculus to problems in the mathematical and physical sciences;| Find and classify the extrema of functions of several variables;| Compute line, surface and volume integrals in Cartesian, cylindrical and spherical polar coordinates;| Apply the integral theorems of Green, Gauss and Stokes;| Present a mathematical argument in written form.| Present a mathematical argument in written form.",,,
Bachelor of Applied Data Science,S2010,MTH2015,MTH2015 - Multivariable calculus (advanced),"This unit is an alternative to MTH2010 for students with a strong mathematical foundation.
Students enrolled in MTH2015 will follow the same curriculum as students in MTH2010 and will cover additional more advanced material.
Functions of several variables, partial derivatives, extreme values, Lagrange multipliers. Multiple integrals, line integrals, surface integrals. … For more content click the Read more button below.","Understand and apply multivariable calculus to problems in the mathematical and physical sciences;| Find and classify the extrema of functions of several variables;| Compute Taylor series for functions of several variables;| Compute line, surface and volume integrals in Cartesian, cylindrical and polar coordinates;| Apply the integral theorems of Green, Gauss and Stokes;| Use computer algebra packages to solve mathematical problems;| Present a mathematical argument in written form;| Understand and apply the formal definition of a limit to functions of several variables;| Prove various identities between grad, div and curl;| Develop and present rigorous mathematical proofs.| Demonstrate an understanding of the notions of torsion and curvature and be able to compute them;| Apply stereographic projection and its properties;| Articulate the difference between pointwise and uniform convergence for functions of one variable;| Use the properties of analytic functions to prove fundamental results.",,,
Bachelor of Applied Data Science,S2010,MTH2021,MTH2021 - Linear algebra with applications,"Vector spaces, linear transformations. Determinants, eigenvalue problems, matrix decompositions. Inner products, least squares approximation. Applications to areas such as coding, economics, graph theory, Markov chains, differential equations","Apply basic concepts related to vector spaces, including subspace, span, linear independence and basis;| Understand basic properties of linear transformations and identify their kernel and range;| Diagonalize real matrices by computing their eigenvalues and finding their eigenspaces;| Understand basic concepts related to inner product spaces and apply these to problems such as least-squares data fitting;| Apply tools from linear algebra in a wide variety of relevant situations;| Recognise and apply relevant numerical methods and demonstrate computational skills in linear algebra;| Present clear mathematical arguments in both written and oral forms.",,,
Bachelor of Applied Data Science,S2010,MTH2025,MTH2025 - Linear algebra (advanced),"Vector spaces, linear transformations. Determinants, eigenvalue problems. Inner products, symmetric matrices, quadratic forms. Linear functionals and dual spaces. Matrix decompositions, least squares approximation, power method. Applications to areas such as coding, economics, networks, graph theory, geometry, dynamical systems, Markov chains, differential equations.","Apply concepts related to vector spaces, including subspace, span, linear independence and basis;| Understand properties of linear transformations and identify their kernel and range;| Diagonalize real matrices by computing their eigenvalues and finding their eigenspaces;| Understand matrix decomposition techniques;| Understand concepts related to inner product spaces and apply these to problems such as least-squares data fitting;| Develop and apply tools from linear algebra to a wide variety of relevant situations;| Recognise and apply relevant numerical methods and demonstrate computational skills in linear algebra;| Present clear mathematical arguments in both written and oral forms;| Develop and present rigorous mathematical proofs.",,,
Bachelor of Applied Data Science,S2010,MTH2222,MTH2222 - Mathematics of uncertainty,"Introduction to probability - a mathematical treatment. Topics include: probability axioms, conditional probabilities and the law of total probability, discrete and continuous random variables, univariate and multivariate distributions, independence and conditioning, conditional distributions and conditional expectations, moment generating functions, simulation, the law of large numbers and the central limit theorem.","Understand the basic concepts of probability including conditioning and independence, univariate and multivariate probability distributions, expectations, generating functions and limit theorems;| Appreciate the relevance of probability models to a variety of areas including Science, Engineering, Actuarial Science and Finance;| Derive means, variances, moments and distributions in a variety of univariate and multivariate contexts;| Use conditioning and moment generating functions to solve a variety of problems involving two or more events or random variables;| Understand the way random numbers are generated;| Formulate in probabilistic terms real-life situations involving uncertainty.","MTH1030, MTH1035, ENG1005",,"MTH2025, MTH2040, MTH2015, MTH2021, MTH2010, ENG2005, MTH2019"
Bachelor of Applied Data Science,S2010,MTH2225,MTH2225 - Mathematics of uncertainty (Advanced),"This unit provides an introduction to probability - mathematical treatment. Topics include: probability axioms, conditional probabilities and the law of total probability, discrete and continuous random variables, univariate and multivariate distributions, independence and conditioning, conditional distributions and conditional expectations, moment generating functions, simulation, the law of large numbers and the … For more content click the Read more button below.","Understand the basic concepts of probability including conditioning and independence, univariate and multivariate probability distributions, expectations, generating functions and limit theorems;| Appreciate the relevance of probability models to a variety of areas including Science, Engineering, Actuarial Science and Finance;
| Derive means, variances, moments and distributions in a variety of univariate and multivariate contexts;| Use conditioning and moment generating functions to solve a variety of problems involving two or more events or random variables;| Understand the way random numbers are generated;| Formulate in probabilistic terms real-life situations involving uncertainty;| Use probabilistic tools, such as conditioning and moment generating functions, to prove basic results in probability;| Carry out all of the above with a high level of mathematical precision.",,,
Bachelor of Applied Data Science,S2010,MTH3241,MTH3241 - Random processes in the sciences and engineering,"This unit introduces the methods of stochastic processes and statistics used in the analysis of biological data, physics, economics and engineering. At the completion of the unit you will understand the application of classical techniques, such as Poisson processes, Markov chains, hidden Markov chains, random walks, martingale theory, birth and … For more content click the Read more button below.","Understand the idea of random variables varying with time;| Analyse Markov chains at the elementary level, in discrete and continuous time;| Understand key processes in probability, including the Poisson process, birth process, birth and death process, branching processes, random walks, martingales;| Apply the probability processes to practical situations, including queues, epidemics, servicing machines, networks, financial markets and insurance risk.",,,
