"","Course","Course_code","Course_overview","Unit","Unit_code","Overview","RequesiteRules","LearningOutcome","Unit_type","Incompatible","Equivalent","Prerequisite"
"15","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","INDUSTRY BASED LEARNING","CSE5IBL","Students undertake a 12 x 20hr per week or equivalent industry based learning program. A member of the academic staff acting in the capacity of industry based learning coordinator liaises with the placement provider to formulate and structure a program of learning for each student. This program is normally project based, with day-to-day supervision by the placement provider. Progress is monitored at regular intervals.","None","1.Apply, describe and justify subject and course knowledge in relation to industry skills requirement 2.Applying learned skills to industry, and describe, analyse and evaluate application of such skills to industry 3.Describe, compare, comment, and justify learned skills alignment with industry requirement","Core choice pathway","INDUSTRY EXPERIENCE B, INDUSTRY BASED LEARNING B, MAJOR PROJECT PART 1, INDUSTRY BASED LEARNING A, MAJOR PROJECT PART 2, INDUSTRY BASED LEARNING B, INDUSTRY EXPERIENCE A, INDUSTRY BASED LEARNING A",NA,NA
"16","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","VISUAL ANALYTICS","BUS5VA","As data becomes ever more complex to analyse, the need for tools to help integrate the user's knowledge and inference capability into the analytical process becomes important. In analytics, this is generally referred to as visualisation, which this subject will cover in detail from various perspectives, for example, temporal, spatial, spatial-temporal, multi-variate, text/documents, graphs and networks, and more. These perspectives will be covered with various business applications in mind including, statistical and summary reporting, trends spotting and projections, process capture, and real-time reporting. These applications will be discussed with reference to various visual analytics frameworks and theories as well as case examples.","Admitted in LMMGTM  or LMIBUS or LMMKT or BM004 or LMMBA or LMMBAO or LGBUA or LGBUAO  or  HZMBHO or  LMMBAA or HZMBHA or HX002CI or HX0020 or LZFABA or SMDS or HMSA or HGSA or LMBAN or LCBAN or LGBAN or BM005 or LMBISC or LGIS or LCISM or BC007O or BG007O ","1.Interpret the importance of visualisation as a means to address information overload for managers and consumers of analytic 2.Inspect the visualisation framework in a variety of business problem 3.Evaluate the appropriate visualisation techniques for a variety of business problem 4.Apply the appropriate tools to visualise the data and analytical results for each given user requiremen 5.Appraise the various visualisation decisions across the entire solution process for a given proble","Core choice pathway",NA,NA,NA
"17","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA WRANGLING AND R","BUS5DWR","This subject introduces you to the various techniques of data wrangling with a strong focus on hands-on experience in R and Structured Query Language (SQL) programming. It will cover the basic concepts in relational database design including Entity Relationship (ER) modelling and SQL as a tool for basic data wrangling. You will also learn various types of data sources and common data formats. The subject teaches you R programming language for you to perform data wrangling tasks, including data import and export, basic data integration and data assessment. Upon completion, you will be able to perform a variety of data wrangling tasks using SQL and R for different kinds of data types.","Admitted in LMMGTM  or LMIBUS or LMMKT or BM004 or LMMBA or LMMBAO or LGBUA or LGBUAO  or  HZMBHO or  LMMBAA or HZMBHA or HX002CI or HX0020 or LZFABA or SMDS or HMSA or HGSA or LMBAN or LCBAN or LGBAN or BM005 or LMBISC or LGIS or LCISM or BG007O or BC007O ","1.Design, formulate and compose database schema and query structures for analytics initiative 2.Compare and contrast various data formats and motivations for data wrangling 3.Construct SQL and R code to wrangle data 4.Formulate data and data wrangling requirements based on the technical challenges of an analytics tas","Elective",NA,NA,NA
"18","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MACHINE LEARNING","CSE5ML","Quantitative analysis plays an important role in industrial data analytics and knowledge engineering, which makes it very useful to develop computing skills for data regression and classification. This subject covers fundamentals of machine learning techniques in theory and practice. The subject is designed to focus on solving industrial data modelling problems using neural networks. You will learn how to test various learning algorithms and compare performance evaluations. Some advanced machine learning techniques for data classification will also be addressed. You will work with industrial data modelling in labs and assignments to consolidate your knowledge and gain hands-on experience with machine learning applications","None","1.Explain associated concepts and applications of machine learning techniques  for data analytics 2.Critically identify the major components and system design in developing neural networks data regression and classification 3.Analyse data to design, implement and evaluate machine learning techniques for real world problem solving 4.Implement  a neural network with different learning algorithms for time- series forecasting with real world data from industry","Elective",NA,NA,"ARTIFICIAL INTELLIGENCE FUNDAMENTALS  , Graduate Certificate in Artificial Intelligence , INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG)"
"19","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA MINING","CSE5DMI","Data Mining refers to various techniques which can be used to uncover hidden information from a database. The data to be mined may be complex data including big data, multimedia, spatial and temporal data, biological and health data. Data Mining has evolved from several areas including: databases, artificial intelligence, algorithms, information retrieval and statistics. This subject is designed to provide you with a solid understanding of data mining concepts and tools. The subject covers algorithms and techniques for data pre-processing, data classification, association rule mining, and data clustering. The subject also covers domain applications where data mining techniques are used.","None","1.Perform critical and effective data- pre-processing tasks 2.Evaluate major data mining classification methodologies 3.Critique association rules mining approaches 4.Evaluate  Data Mining Algorithms based on data clustering techniques 5.Apply advanced data mining techniques for pattern discovery from selected datasets",NA,"DATA MINING",NA,"INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG), C PROGRAMMING FOR ENGINEERS AND SCIENTISTS (PG), OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS"
"20","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","ARTIFICIAL INTELLIGENCE: LOGIC AND REASONING","CSE5ALR","In this subject, you will learn the theories and methodologies of Automated Reasoning (i.e. reasoning conducted by a computer). Topics covered include first order and higher order logic, semantics-based and syntax-based reasoning methodologies, planning and robotics, semantic web and ontology, and cognitive computing. You will also learn to program in PROLOG which is an important Artificial Intelligence (AI) programming language.","None","1.Design and implement PROLOG programs to solve AI problem 2.Implement syntax-based and semantics-based resolution strategies 3.Create simple plans for a robot based on the goal and the current state 4.Design and write simple RDF and OWL programs to construct semantic websites","Specialisation",NA,NA,"PROGRAMMING ENVIRONMENT, INTRODUCTION TO PROGRAMMING"
"21","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","OPTIMISATION","MAT5OPT","Optimisation is the process of maximizing or minimizing some objective of interest, while satisfying constraints. Optimisation problems are fundamental and ubiquitous in the study of machine learning, signal processing, and statistics. This subject will develop the mathematical theory, introduce useful tools, and explain the algorithms and their implementation. A variety of distinct optimisation problem types will be encountered including linear, quadratic, and integer programming, as well as various unconstrained problems. Real world instances of such problems will be considered, and solution methods for such problems will be studied. A basic knowledge of calculus and real analysis is assumed.","Prerequisites: Must be admitted in one of the following courses: SHS (in mathematics, statistics) or SHCS or SMDS or SMENM ","1.Translate real-world problems into mathematical form, using the language of optimisation theory 2.Synthesise information, concepts and theories of unconstrained optimisation, and of linear, quadratic, and integer programming 3.Employ tools and implement solution methods and algorithms for unconstrained optimisation, and linear, quadratic, and integer programming 4.Apply optimisation techniques to a range of practical problems","Specialisation",NA,NA,NA
"22","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","NATURAL LANGUAGE PROCESSING","CSE5NLP","Natural Language Processing (NLP) is broadly concerned with the interactions between computers and natural (i.e., human) languages; more particularly, it is concerned with the question of how to program computers to process and analyse large amounts of natural language data. Following a review of the essential mathematical and linguistic concepts underlying natural language processing, you will develop skills in important natural language processing sub-tasks including accessing corpora, tokenisation, morphological analysis, word sense disambiguation, part-of speech tagging, and analysing sentence structure. You will then apply these skills in the context of applications such as text categorisation, text clustering, text recommendation, and information retrieval. Where appropriate, both lexical (i.e. dictionary-based) and machine learning approaches will be used.","None","1.Apply natural language processing sub tasks, including tokenisation, morphological analysis, word sense disambiguation, part-of-speech tagging, and analysing sentence structure, to natural languages texts 2.Describe and evaluate the methods and algorithms used to process different types of textual data 3.Devise natural language processing(NLP)processing pipelines using existing NLP code libraries, textcorpora, and lexical resources such as WordNet 4.Critically evaluate results of applying natural language processing methods to real-world tasks such as text categorisation, text clustering, text recommendation and information retrieval","Specialisation",NA,NA,"ARTIFICIAL INTELLIGENCE FUNDAMENTALS, ARTIFICIAL INTELLIGENCE FUNDAMENTALS"
"23","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MACHINE LEARNING","CSE5ML","Quantitative analysis plays an important role in industrial data analytics and knowledge engineering, which makes it very useful to develop computing skills for data regression and classification. This subject covers fundamentals of machine learning techniques in theory and practice. The subject is designed to focus on solving industrial data modelling problems using neural networks. You will learn how to test various learning algorithms and compare performance evaluations. Some advanced machine learning techniques for data classification will also be addressed. You will work with industrial data modelling in labs and assignments to consolidate your knowledge and gain hands-on experience with machine learning applications","None","1.Explain associated concepts and applications of machine learning techniques  for data analytics 2.Critically identify the major components and system design in developing neural networks data regression and classification 3.Analyse data to design, implement and evaluate machine learning techniques for real world problem solving 4.Implement  a neural network with different learning algorithms for time- series forecasting with real world data from industry","Specialisation",NA,NA,"ARTIFICIAL INTELLIGENCE FUNDAMENTALS  , Graduate Certificate in Artificial Intelligence , INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG)"
"24","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA MINING","CSE5DMI","Data Mining refers to various techniques which can be used to uncover hidden information from a database. The data to be mined may be complex data including big data, multimedia, spatial and temporal data, biological and health data. Data Mining has evolved from several areas including: databases, artificial intelligence, algorithms, information retrieval and statistics. This subject is designed to provide you with a solid understanding of data mining concepts and tools. The subject covers algorithms and techniques for data pre-processing, data classification, association rule mining, and data clustering. The subject also covers domain applications where data mining techniques are used.","None","1.Perform critical and effective data- pre-processing tasks 2.Evaluate major data mining classification methodologies 3.Critique association rules mining approaches 4.Evaluate  Data Mining Algorithms based on data clustering techniques 5.Apply advanced data mining techniques for pattern discovery from selected datasets","Specialisation","DATA MINING",NA,"INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG), C PROGRAMMING FOR ENGINEERS AND SCIENTISTS (PG), OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS"
"25","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","CLOUD-BASE WEB APPLICATION","CSE5006","Creating web sites that scale to serve hundreds of millions of users with acceptable response times is a very challenging task. The main focus of this subject is on cloud computing concepts and tools that are needed to make web sites scalable. This subject assumes the technologies HTML, CSS and basic Javascript have already being taught in CSE4IFU. The subject will cover topics such as frontend fundamental (Git, responsive web design, popular frontend frameworks and the React framework), advanced frontend and backend development (Redux, Docker, RestAPI, stateless web servers and Nodejs), and web server storage and deployment in Microsoft Azure (fundamental cloud computing concepts, continuous integration and delivery with Microsoft Azure, database and no SQL storage with Microsoft Azure, authentication and authorization, and integration of third party services, such as Twitter, Google Maps and Weather, etc.).","None","1.Design and Develop web applications using Javascrip 2.Design and build a stateless web server based on cloud technologie 3.Design and customize backend Web applications based on user requirement 4.Use modern software engineering tools to build and deploy robust code for scalable web sites 5.Investigate storage technologies to determine optimal choice for a web site","Specialisation",NA,NA,"INFORMATION TECHNOLOGY FUNDAMENTALS"
"26","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","SPATIAL ANALYSIS","STA5001","The subject introduces you to spatial data analysis. It surveys the theory of spatial random processes, spatial statistics models, and their applications to a wide range of areas, including image analysis and GIS (geographic information system). The subject will cover the methodology and modern developments for spatial-temporal modelling, estimation and prediction, spectral analysis of spatial processes and working with big spatial data. All the methods presented will be introduced and illustrated in the context of specific datasets with GRASS and R software. You will get experience with analysis of real-world data.","None","1.Formulate purposeful questions to explore new statistical ideas and subsequently design valid statistical experiments 2.Present clear, well structured analysis of important statistical model results 3.Creatively find solutions to real world problems consistent with those commonly faced by practicing statisticians 4.Professionally defend or question the validity of existing statistical analyses and associated evidence-based conclusions that are derived via application of sound spatial statistical methodology","Specialisation","SPATIAL ANALYSIS",NA,""
